F4 门(a) 和账　W08 片0　R48NMeshGateTests 带格与闭合门的 18 例　等温 1214 A／1150 °C 电流场 → 片 0 壳热解（LineRunner.PlateThermalInputs／SolvePlateThermal，管根 1140 °C）
开跑 2026-09-23 15:44:47　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC3　写码 2026-09-23，F4（C3）
门槛（跑前写死）：逐格逐项 |x·f + x·(1−f) − x| ≤ 4u·|x|（u = 2⁻⁵³，界 3u + O(u²)）；两区合计对 Σ 自由格 ≤ (3n+4)u·Σ|x|；Solve 八本账 = 逐格同序重加（逐位）；决 28 两区峰逐位；改回：温度场、总账、两区峰取大逐位不变；圆盘区体积对精确参考 ≤ 0.1 %。
R	w	档	单元	自由格	切开格	盘发热 开	盘发热 关	舌发热 开	舌发热 关	盘散热 开	盘散热 关	舌散热 开	舌散热 关	盘面积 开	盘面积 关	盘体积 开	盘体积 关	盘体积参考	Δ开%	Δ关%	盘峰 开	盘峰 关	舌峰 开	舌峰 关	盘峰r 开	盘峰r 关	舌峰r 开	舌峰r 关	逐格最大误差(u)	合计最大误差(界的倍数)	判读
30.00	29.50	导航	1146	1026	68	25.0881	25.2381	395.9630	395.8130	15.5336	15.6909	197.2027	197.0453	736.264	747.998	991.192	1015.363	991.009	+0.018	+2.457	1155.047	1151.750	1156.503	1156.503	30.47	29.30	32.47	32.47	2.00	0.005	过
30.00	29.50	判决	4280	3800	128	25.2541	25.2194	395.6442	395.6789	15.0905	14.9155	197.5230	197.6979	736.264	734.998	991.192	988.583	991.009	+0.018	-0.245	1154.215	1154.215	1156.498	1156.498	29.96	29.96	32.96	32.96	2.00	0.019	过
30.00	29.55	导航	1132	1012	66	25.4205	24.1166	393.5025	394.8064	15.5767	15.0987	196.1934	196.6713	736.264	732.000	994.197	985.412	994.009	+0.019	-0.865	1154.194	1150.949	1155.651	1155.651	30.19	29.03	32.19	32.19	1.30	0.006	过
30.00	29.55	判决	4250	3770	130	25.0271	25.4600	393.1337	392.7009	15.0857	15.1266	196.5246	196.4838	736.264	740.698	994.197	1003.330	994.009	+0.019	+0.938	1153.153	1153.153	1155.434	1155.434	29.68	29.68	32.68	32.68	1.94	0.020	过
30.00	29.70	导航	1146	1026	66	25.2458	25.0528	387.7179	387.9108	15.6102	15.2455	193.5763	193.9410	736.264	733.225	1001.053	994.823	1000.872	+0.018	-0.604	1151.751	1151.751	1153.622	1153.622	29.25	29.25	33.25	33.25	2.00	0.015	过
30.00	29.70	判决	4248	3768	128	25.0454	25.3446	387.4615	387.1622	15.0985	15.1276	193.9602	193.9311	736.264	740.424	1001.053	1009.581	1000.872	+0.018	+0.870	1152.088	1152.088	1153.479	1153.479	29.74	29.74	32.74	32.74	1.95	0.024	过
30.00	29.80	导航	1132	1012	68	25.0816	25.2528	383.9172	383.7461	15.5773	15.5637	191.6386	191.6521	736.264	743.987	1005.895	1021.650	1005.721	+0.017	+1.584	1152.199	1149.762	1152.524	1152.524	30.47	28.89	32.47	32.47	1.71	0.004	过
30.00	29.80	判决	4194	3714	130	25.2479	25.2326	383.6655	383.6808	15.1063	14.9796	191.9964	192.1231	736.264	736.387	1005.895	1006.146	1005.721	+0.017	+0.042	1151.646	1151.646	1152.473	1152.473	29.96	29.96	31.96	31.96	2.00	0.013	过

── 18 例，不过 0；切开格合计 1790；逐格和账最大误差 2.00u（门 4u）；两区合计最大误差 = 界的 0.029 倍　总耗时 17 s（与别的测试同机争用下量得）　2026-09-23，F4（C3）
读法：「开」= 份额账（生产）；「关」= 改回按格心（只供门）。两区峰、峰位、分区账的开／关差就是 F4 在这一例上的位移（参考量，照报不评好坏）。
