R48 V　跳变诊断 ⑪：**盘缘窄带那一排格在三档网格上各在哪里翻面**（W08，只量几何、不解场）
开跑 2026-09-18 16:04:59　编译运行目录 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\mirror（源码镜像自工作树 D:\WinForm\r48_U，逐字相同）　写码 2026-09-18 Opus 5
基准设计：deliverable/R48_L_端到端_细网格_W08_本次开跑于2026-09-17_093013.txt　§「旋钮终值（逐片）」表的 A 导航档四行

═══════ 判读（跑前写死，跑完不挪）═══════
　① 闭式预测「整排丢掉」= (栅格步 ÷ 2) ÷ (盘半径 − 舌半宽) < 0.25，即 盘半径 − 舌半宽 > 细区网格 ÷ 2。
　② 实测与预测**逐档一致** ⇒ 机理成立；有一档不一致 ⇒ 机理不成立，照印不一致的那一档。
　③ 盘半径 ≤ 舌半宽（舌半宽被夹成盘半径）⇒ 没有这条带，写「无带」，不算可信也不算不可信。

═══════ 口径 ═══════
网格：LineRunner.PlateMeshAnalytic（生产原样），细区尺寸由 Solver.ApplyCaseMesh 给；栅格步 = FlangeMesher.RasterStepFor(细区)。
「带」= z ∈ (舌半宽, 盘半径] 那一排格（两侧各一排）；只数**舌片那一段**（格心 x < 切点x）。
丢弃线 = BuildFromField 的 covered < 0.25 × 整格面积。

细区mm	盘半径	舌半宽实际	带宽	栅格步	预测覆盖率	预测整排丢?	实测带里舌段格数	实测留下	实测丢掉	网格体积 mm³	单元	一致?
0.500	31.25	30.000	1.2500	0.1250	0.0500	丢	284	0	284	16288.4	17122	一致
0.500	31.50	30.000	1.5000	0.1250	0.0417	丢	282	0	282	16420.7	17298	一致
0.500	31.75	30.000	1.7500	0.1250	0.0357	丢	282	0	282	16557.4	17638	一致
0.500	32.00	30.000	2.0000	0.1250	0.0313	丢	280	0	280	16688.2	17820	一致
0.500	32.25	30.000	2.2500	0.1250	0.0278	丢	278	0	278	16816.1	18004	一致
0.500	32.50	30.000	2.5000	0.1250	0.0250	丢	276	0	276	16946.2	18140	一致
0.500	32.75	30.000	2.7500	0.1250	0.0227	丢	274	0	274	17074.1	18334	一致
0.500	33.00	30.000	3.0000	0.1250	0.0208	丢	274	0	274	17200.5	18592	一致
0.500	33.25	30.000	3.2500	0.1250	0.0192	丢	272	0	272	17340.7	18768	一致
0.500	33.50	30.000	3.5000	0.1250	0.0179	丢	272	0	272	17489.9	19002	一致
0.500	33.75	30.000	3.7500	0.1250	0.0167	丢	270	0	270	17639.6	19176	一致
0.500	34.00	30.000	4.0000	0.1250	0.0156	丢	270	0	270	17795.7	19424	一致

═══════ 翻面点（闭式）═══════
　细区 2.0 mm ⇒ 栅格步 0.500 mm ⇒ 盘半径 − 舌半宽 > 1.000 mm 就整排丢掉
　细区 1.0 mm ⇒ 栅格步 0.250 mm ⇒ 盘半径 − 舌半宽 > 0.500 mm 就整排丢掉
　细区 0.5 mm ⇒ 栅格步 0.125 mm ⇒ 盘半径 − 舌半宽 > 0.250 mm 就整排丢掉

── 总耗时 0.6 分钟（2026-09-18 16:05:32）
出处：网格 = LineRunner.PlateMeshAnalytic；栅格步 = FlangeMesher.RasterStepFor；覆盖率 = FlangeMesher.RasterOverlap；
　丢弃线 = ShellMesh.cs BuildFromField 的 covered < 0.25 × cellArea。本文件里每一个数都来自这一次运行。2026-09-18，Opus 5
