F6 门：电极位置不随格集合跳　W08 片0　盘径 30.220～30.250 与 30.550～30.570 每 0.001（舌半宽 30）　导航 vs 判决等温电流场　写码 2026-09-23，F6
开跑 2026-09-23 04:47:30　门槛（跑前写死）：相隔 0.01 的两点 |e(R+0.01) − e(R)| ≤ 0.2 %（门 b 原阈值与原间距，10 种相位全判）；相邻 0.001 步只印。改回整格钉必须红（门不空守）。
R	口径	R导航µΩ	R判决µΩ	e%	相邻0.001步Δe%	相隔0.01的Δe%	判读
30.242	改回整格钉	314.9332	315.4968	-0.1786	-0.0028	+0.2549	**不过**
30.243	面上	317.2045	316.8507	+0.1117	-0.0021	+0.0418	过
30.243	改回整格钉	314.9385	315.5079	-0.1805	-0.0018	+0.2535	**不过**
30.244	面上	317.2261	316.9112	+0.0994	-0.0123	+0.0301	过
30.244	改回整格钉	314.9458	315.6626	-0.2271	-0.0466	+0.2073	**不过**
30.245	面上	317.2492	316.9763	+0.0861	-0.0132	+0.0174	过
30.245	改回整格钉	314.9544	315.7955	-0.2664	-0.0393	+0.1684	过
30.246	面上	317.2734	317.0015	+0.0858	-0.0003	+0.0175	过
30.246	改回整格钉	314.9637	315.8067	-0.2669	-0.0006	+0.1682	过
30.247	面上	317.2982	317.0268	+0.0856	-0.0002	+0.0177	过
30.247	改回整格钉	314.9735	315.8180	-0.2674	-0.0005	+0.1681	过
30.248	面上	317.3235	317.0524	+0.0855	-0.0001	-0.0165	过
30.248	改回整格钉	314.9837	315.8294	-0.2678	-0.0004	+0.0879	过
30.249	面上	317.3492	317.0780	+0.0855	+0.0000	-0.0168	过
30.249	改回整格钉	314.9941	315.8409	-0.2681	-0.0003	+0.0877	过
30.250	面上	317.3751	317.1038	+0.0855	+0.0000	-0.0365	过
30.250	改回整格钉	315.0048	315.8524	-0.2684	-0.0003	-0.0964	过
30.550	面上	324.5693	324.3528	+0.0668	—	—	—
30.550	改回整格钉	321.3470	322.7183	-0.4249	—	—	—
30.551	面上	324.5859	324.3702	+0.0665	-0.0002	—	—
30.551	改回整格钉	321.3539	322.7260	-0.4251	-0.0002	—	—
30.552	面上	324.6026	324.4021	+0.0618	-0.0047	—	—
30.552	改回整格钉	321.3609	322.8679	-0.4668	-0.0416	—	—
30.553	面上	324.7802	324.4566	+0.0997	+0.0379	—	—
30.553	改回整格钉	321.8756	322.9974	-0.3473	+0.1194	—	—
30.554	面上	324.7963	324.4720	+0.1000	+0.0002	—	—
30.554	改回整格钉	321.8822	323.0042	-0.3473	+0.0000	—	—
30.555	面上	324.8126	324.4879	+0.1001	+0.0001	—	—
30.555	改回整格钉	321.8889	323.0112	-0.3474	-0.0001	—	—
30.556	面上	324.9015	324.5150	+0.1191	+0.0191	—	—
30.556	改回整格钉	322.6700	323.2132	-0.1681	+0.1794	—	—
30.557	面上	324.9025	324.5266	+0.1159	-0.0033	—	—
30.557	改回整格钉	322.6645	323.2161	-0.1707	-0.0026	—	—
30.558	面上	324.9092	324.5419	+0.1132	-0.0027	—	—
30.558	改回整格钉	322.6634	323.2222	-0.1729	-0.0022	—	—
30.559	面上	324.9193	324.5584	+0.1112	-0.0020	—	—
30.559	改回整格钉	322.6650	323.2291	-0.1745	-0.0017	—	—
30.560	面上	324.9314	324.5753	+0.1097	-0.0015	+0.0430	过
30.560	改回整格钉	322.6682	323.2364	-0.1758	-0.0013	+0.2491	**不过**
30.561	面上	324.9450	324.5925	+0.1086	-0.0011	+0.0421	过
30.561	改回整格钉	322.6725	323.2439	-0.1768	-0.0010	+0.2484	**不过**
30.562	面上	324.9596	324.6443	+0.0971	-0.0115	+0.0353	过
30.562	改回整格钉	322.6776	323.3948	-0.2218	-0.0450	+0.2450	**不过**
30.563	面上	324.9748	324.6612	+0.0966	-0.0005	-0.0031	过
30.563	改回整格钉	322.6832	323.4023	-0.2224	-0.0006	+0.1250	过
30.564	面上	324.9906	324.7177	+0.0840	-0.0126	-0.0159	过
30.564	改回整格钉	322.6891	323.5314	-0.2603	-0.0380	+0.0870	过
30.565	面上	325.0067	324.7344	+0.0838	-0.0002	-0.0162	过
30.565	改回整格钉	322.6954	323.5389	-0.2607	-0.0004	+0.0867	过
30.566	面上	325.0232	324.7513	+0.0837	-0.0001	-0.0354	过
30.566	改回整格钉	322.7019	323.5464	-0.2610	-0.0003	-0.0929	过
30.567	面上	325.0399	324.7683	+0.0836	-0.0001	-0.0322	过
30.567	改回整格钉	322.7085	323.5539	-0.2613	-0.0003	-0.0906	过
30.568	面上	325.0568	324.7853	+0.0836	+0.0000	-0.0296	过
30.568	改回整格钉	322.7154	323.5615	-0.2615	-0.0002	-0.0887	过
30.569	面上	325.0738	324.8024	+0.0836	+0.0000	-0.0276	过
30.569	改回整格钉	322.7223	323.5692	-0.2617	-0.0002	-0.0872	过
30.570	面上	325.0910	324.8195	+0.0836	+0.0000	-0.0261	过
30.570	改回整格钉	322.7293	323.5768	-0.2619	-0.0002	-0.0861	过
── 面上口径：相隔 0.01 不过 0 对，最大 0.0707 %；相邻 0.001 步最大 0.0384 %
── 改回整格钉：相隔 0.01 不过 8 对，最大 0.3823 %；相邻 0.001 步最大 0.1838 %
