网格修复 门(c) 一致门　W08　盘径 28～34 每 0.25（舌半宽 30，舌长按搜形状规则；其余旋钮 = A 导航档终值）　导航 vs 判决整线解（带玻璃稳态 ②）
开跑 2026-09-18 20:20:10　工作树 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\r48N_pre　写码 2026-09-18，Fable 5.1　并发 6 条整线解，每点解完即落盘（C:\Users\admin\AppData\Local\Temp\网格修复_门c_2026-09-18_195938_进行中.log）
门槛（跑前写死）：同一几何 导航 − 判决：|Δ最热铂| ≤ 2 K、|Δ管根| ≤ 2 K、|Δ净流入| ≤ 1 W；判不了不当过。改前在 30.75／31.00 是 19～26 K（诊断 §0.-12 ②、网格审计_3）。
基准设计：deliverable/R48_L_端到端_细网格_W08_本次开跑于2026-09-17_093013.txt　§「旋钮终值（逐片）」表的 A 导航档四行

标签	R	w	档	细区mm	细区半径	单元	最热铂高出热偶读数K	管根低于热偶读数K	管孔净流入W	铂重g	片0发热W	片0抽热W	耦合轮	耗时s
c	33.50	30.00	判决	1.000	64.2	4910	60.577	-3.991	-16.584	4489.0	477.915	-4.035	38	194
c	29.75	30.00	导航	2.000	59.0	1174	-14.001	23.386	7.657	4259.1	379.865	9.992	23	104
c	30.50	30.00	判决	1.000	60.9	4432	3.748	13.292	1.182	4329.5	404.934	5.701	47	249
c	32.50	30.00	判决	1.000	63.4	4706	49.358	-4.017	-13.524	4436.3	462.893	-3.420	25	138
c	28.75	30.00	导航	2.000	59.0	1156	-25.162	40.492	10.427	4311.4	363.297	14.823	30	126
c	33.75	30.00	导航	2.000	64.4	1326	62.508	-2.920	-16.537	4500.7	480.803	-3.556	33	126
c	32.75	30.00	导航	2.000	63.6	1296	51.490	-3.184	-13.614	4449.1	466.198	-3.051	33	132
c	31.50	30.00	判决	1.000	62.4	4518	35.605	-2.075	-9.756	4384.7	444.690	-1.883	47	232
c	29.75	30.00	判决	1.000	59.0	4260	-13.948	22.430	7.339	4259.1	380.501	9.591	27	178
c	28.75	30.00	判决	1.000	59.0	4162	-24.995	39.368	10.065	4311.0	363.941	14.399	27	179
c	30.75	30.00	导航	2.000	61.4	1246	3.314	15.681	1.739	4356.6	406.265	6.715	53	235
c	33.75	30.00	判决	1.000	64.4	4982	62.960	-3.813	-17.254	4502.3	481.331	-4.090	35	203
c	34.00	30.00	导航	2.000	64.6	1344	65.838	-2.707	-17.285	4516.3	484.262	-3.603	33	137
c	30.75	30.00	判决	1.000	61.4	4308	22.464	1.830	-5.544	4339.3	426.878	0.404	53	288
c	31.75	30.00	判决	1.000	62.6	4598	39.832	-3.025	-10.951	4398.2	449.922	-2.492	51	270
c	32.75	30.00	判决	1.000	63.6	4772	52.454	-4.124	-14.262	4449.5	467.003	-3.627	75	386
c	34.00	30.00	判决	1.000	64.6	5038	65.443	-3.334	-17.836	4516.7	484.567	-4.010	40	223
c	31.75	30.00	导航	2.000	62.6	1212	39.483	-2.377	-10.479	4396.5	449.912	-2.054	156	525

并发自检（R30 导航 串行 vs 并发）：逐位相同 ⇒ 并发没有串味　串行 串行自检	30.00	30.00	导航	2.000	59.0	1096	-9.460	19.922	6.257	4245.2	384.949	8.527	36	136

═══════ 对拍：导航 − 判决 ═══════
── 不过 2/25 点：R30.75 R31.00　总耗时 29.9 分钟　2026-09-18，Fable 5.1
出处：整线解 = LineRunner.Run；网格 = Solver.ApplyCaseMesh（导航 FineMm = 0 只统一细区半径；判决 FineMm = 1.0）；读数 = LineResult.ValueOf。每个数出自本次运行。
