R48 合并树拷入的证据文件清单（2026-09-15 Opus 5）：Core/测试注释与 HANDOVER 引用、合并树原本缺的文件，从所在工作树 deliverable 原样拷入；md5 与源相同。
文件名	来源工作树	md5
R48_导航网格偏差_2026-09-13.txt	Pt_Optimize_r47	2a06e59458036767564197961bfb42a9
R48_探针一_细区半径_2026-09-14.txt	Pt_Optimize_r47	d1bd28d92d1e39312143eabe0ce4c4f9
R48_探针三_片0保温两根杠杆_2026-09-14.txt	Pt_Optimize_r47	24556077d0c75b85811de943becd86b3
R48_探针二_共用片双扣对照_2026-09-14.txt	Pt_Optimize_r47	bba520b60aa542c6d994693a9169974a
R48_探针四_耦合停机噪声_2026-09-14.txt	Pt_Optimize_r47	0e4abd843b87ea7eb5cf3fe0fe96d638
R48_接头电流核对_2026-09-14.txt	Pt_Optimize_r47	04ce9d043cc7d9abdccfcb63c6f3cd63
R48_板厚反常_2026-09-14.txt	Pt_Optimize_r47	7dbf3ce6c09d8aa5984404097238c051
R48_正式重解_管壁08_2026-09-13.txt	Pt_Optimize_r47	3f00e06633e08a32fa0579347ae6d6d2
R48_求根网格与复核网格_2026-09-13.txt	Pt_Optimize_r47	5cedcd6e174bc3f32cac296696d7ab67
R48_环的解析度_2026-09-13.txt	Pt_Optimize_r47	7748fe781abf59d3d7caef56c559424c
R48_离散误差预算_2026-09-14.txt	Pt_Optimize_r47	1c5fc3c23430e53ff1421c6ff3a522cf
R48_空管稳态_差值_2026-09-14.txt	r48_C	3cbd5c438550abe4ee2b81421bf438aa
R48_空管稳态_空管_2026-09-14.txt	r48_C	f42535779c417b391edbf3e80ebec04a
R48_空管续跑_kA0.023_2026-09-15.txt	r48_G3	d484b74586abdd90c616506278fc38ee
R48_第二批保温扫描_B2_2026-09-14.txt	Pt_Optimize_r47	690d48e9c423bddf7c95452eb8a3ffd0
R48_管根接线与灵敏度_2026-09-14.txt	Pt_Optimize_r47	f693356cdd41ca70253a77c86f973213
R48_组合配方收敛_2026-09-14.txt	r48_A	3df5034f2e502d0b1bfcdd99937e7875
R48_耦合容差阶梯_判读_2026-09-14.txt	Pt_Optimize_r47	170bb31a6633a1876acf381c283dca4f
R48_耦合续跑_2026-09-14.txt	Pt_Optimize_r47	7ca0d0f2ed9f23ca6a89acaa8d8b3114
R48_舌保温窗口_2026-09-13.txt	Pt_Optimize_r47	56ed6cc088dea9b3789b5dabe42cb03b
R48_逐片圆盘保温下游行为门_图纸路径_第二版_2026-09-14.txt	r48_D	1291d3b1ebd75062b4973e85b91a1f41
R48_逐片圆盘保温下游行为门_第二版_2026-09-14.txt	r48_D	49d0797a15e48e0f147913fee13602f8
R48_逐片追查_2026-09-13.txt	Pt_Optimize_r47	cc8f8e07205725cc566863a006b0dfd6
R48_重解_管壁08_2026-09-13.txt	Pt_Optimize_r47	e49e1bd1b5303d073f5f69d3991392ff
R48_集总模型排除压接格_2026-09-14.txt	r48_A	e1a8be5bab9c01cee8f3d00ee90cc4a9
R48_面上定温_收敛阶_2026-09-13.txt	Pt_Optimize_r47	00183361f338a721b683bf6ddafb9349
R48_加密必须自相似_2026-09-13.md	Pt_Optimize（主工作树，未追踪）	cmp 相同
R48_压接对齐与保温台阶_2026-09-14.md	Pt_Optimize（主工作树，未追踪）	cmp 相同
R48_求解器错过了可行点_2026-09-14.md	Pt_Optimize（主工作树，未追踪）	cmp 相同
── 第二批（2026-09-15 Opus 5，按合并把关 P2-1 补拷；同名已存在且内容不同的一律不拷、另列）
R48_G2_升温两节点补铜排通道_B2_第一跑_2026-09-15.txt	r48_G2	914ce2d5d2e253e6c949e7093d8a2ad7
R48_G2_升温两节点补铜排通道_误差预算_2026-09-15.txt	r48_G2	c2c5dce7f54d3634fb34bfa8c036eeb9
R48_G2_升温两节点补铜排通道_误差预算_第一跑_2026-09-15.txt	r48_G2	189e7947c2018c6efb768da9978a3f52
R48_G2_复审_升温两节点逐项标定_B2_第一跑_2026-09-15.txt	r48_G2	cc48b0d83581277bd6bd333eb96287c1
R48_G2_复审_升温两节点逐项标定_误差预算_2026-09-15.txt	r48_G2	5b4b84c46ad6827e11fc1ef90807b879
R48_G2_复审_升温两节点逐项标定_误差预算_第一跑_2026-09-15.txt	r48_G2	b43377eeeb229cd8147074c636cdd4bc
R48_G2_复审二_升温两节点_B2_带玻璃_2026-09-15.txt	r48_G2	6afbbe892c77864de22fc27de7d7372c
R48_G2_复审二_升温两节点_B2_空管_2026-09-15.txt	r48_G2	cff6e87e7bc98837d5486711c1d5ce8b
R48_G2_复审二_升温两节点_误差预算_带玻璃_2026-09-15.txt	r48_G2	f75f4ef32af252f7c18d1f29f8001b86
R48_G2_复审二_升温两节点_误差预算_空管_2026-09-15.txt	r48_G2	fe2712e70402a6965a8fca932c2f2d3c
R48_G2_复审二重跑_逐片圆盘保温下游行为门_图纸路径_2026-09-15.txt	r48_G2	3721365b6dd236e1f1a0a265410a1160
R48_G2_复审二重跑_逐片圆盘保温下游行为门_解析路径_2026-09-15.txt	r48_G2	b0afbee8b6d9434186c06f275d663598
R48_G2_复审二重跑_集总模型排除压接格_2026-09-15.txt	r48_G2	82a1462b7188a1a41afc870a1daea63c
R48_G2_复审重跑_逐片圆盘保温下游行为门_图纸路径_2026-09-15.txt	r48_G2	9444b4a19665126031f1efdc4307873e
R48_G2_复审重跑_逐片圆盘保温下游行为门_解析路径_2026-09-15.txt	r48_G2	318cdcc23ed17b3118244d8953456986
R48_G2_复审重跑_逐片圆盘保温下游行为门_解析路径_第一跑_2026-09-15.txt	r48_G2	731095a5253b6cd2dcc7881164422527
R48_G2_复审重跑_集总模型排除压接格_2026-09-15.txt	r48_G2	a02372ef56fb9512fde377e3c7b797c8
R48_空管续跑_kA0.023_2026-09-15_064409.txt	r48_G3	316143575520d66c44094b91f07e1ac4
R48_空管续跑_kA0.023_2026-09-15_100834.txt	r48_G3	8368aa710429d1a27955040750dd4987
R48_空管续跑_kA0.056_2026-09-15.txt	r48_G3	0f505d28e19c1fc80d7f665f748effd7
R48_空管续跑_kA0.056_2026-09-15_064409.txt	r48_G3	720fee1423881a2615b2b327f3f2297a
R48_空管续跑_kA0.056_2026-09-15_100834.txt	r48_G3	4332cbb9762ae1c5fe4acd18bbce5a16
R48_空管续跑_两档并列_2026-09-15.txt	r48_G3	23d21220897bf1ef67fd546bb8247b78
R48_空管续跑_两档并列_2026-09-15_110819.txt	r48_G3	61e969ec5c681f5938dcba1721d2f6ea
r48B_敏感度矩阵_热偶基准_2026-09-14.txt	r48_B	1e17343c4ac7d42702b8580afa7f7108
r48B_热偶基准_现役档单次判定_2026-09-14.txt	r48_B	c7f2adc4ea1f4aef470affb225b59c87
R48A_基线树老口径记录_2026-09-14.txt	r48_A	eb2ba24774c8cb6503ba4ecc1c4cdbc5
R48A_基线树老口径记录_含判据表_2026-09-14.txt	r48_A	aefebefbba17373ace01168c30227c74
R48A_基线树老口径记录_含判据表_探针源码_2026-09-14.cs.txt	r48_A	b2743560f7e72ab46e9b08059c9df565
R48A_基线树老口径记录_探针源码_2026-09-14.cs.txt	r48_A	68841239171f6bdb296aacf1119084c2
R48_正式重解_管壁06_2026-09-13.txt	Pt_Optimize_r47	e72c99bf9cb8d6ec1bf3f0c6479931ef
R48_正式重解_管壁06_err.txt	Pt_Optimize_r47	d41d8cd98f00b204e9800998ecf8427e
R48_求根与判决必须同一张网格_2026-09-13.md	Pt_Optimize	3c93349c43b252f0ee64176bdc31ddd1
R48_圆盘区判据只看了半边_2026-09-14.md	Pt_Optimize	f67ad51cbd3b7dbfe1289e7871bee3db
